Activity,Type
Attending a painting workshop,destresser
Catching a connecting flight,stressor
Going to a flower show,destresser
Going to a crowded mall,stressor
Attending mandatory training,stressor
Navigating a new train station,stressor
Taking an exam,stressor
Riding a busy bus,stressor
Using public transportation during rush hour,stressor
Shopping during holiday season,stressor
Waiting in line at the post office,stressor
Going to a networking event,stressor
Attending a job interview,stressor
Attending a conference,stressor
Grocery shopping during peak hours,stressor
Walking around a lake,destresser
Getting a blood test,stressor
Taking a certification test,stressor
Having an eye exam,stressor
Returning items to a store,stressor
Presenting to a group,stressor
Going to the dentist,stressor
Attending a comedy show,destresser
Going to a bookstore,destresser
Going to the beach,destresser
Going zip lining,destresser
Taking a boxing class,destresser
Going to the DMV,stressor
Having a dental cleaning,stressor
Running errands during rush hour,stressor
Taking a swim,destresser
Going to a scenic overlook,destresser
Having a facial treatment,destresser
Going to physical therapy,stressor
Going to a local festival,destresser
Going to a business meeting,stressor
Getting a pedicure,destresser
Taking a sailing lesson,stressor
Going to a busy pharmacy,stressor
Going to pilates,destresser
Going skydiving,stressor
Going paragliding,destresser
Attending a local concert,destresser
Rock climbing indoors,destresser
Going to a hot spring,destresser
Taking a pottery class,destresser
Shopping for electronics,stressor
Going to a garden center,destresser
Taking a sauna,destresser
Going scuba diving,stressor
Visiting a butterfly garden,destresser
Walking in a park,destresser
Dealing with traffic jams,stressor
Visiting an art gallery,destresser
Going white water rafting,stressor
Shopping for formal wear,stressor
Visiting a small zoo,destresser
Visiting a tea house,destresser
Getting an X-ray,stressor
Hiking an easy trail,destresser
Having a medical check-up,stressor
Going through airport security,stressor
Going to a spa,destresser
Exploring a nature center,destresser
Visiting an aquarium,destresser
Going bungee jumping,stressor
Watching a movie at a theater,destresser
Taking a crowded subway,stressor
Going horseback riding,destresser
Going to a wellness center,destresser
Visiting an urgent care clinic,stressor
Going to a peaceful cafe,destresser
Browsing a library,destresser
Taking a parkour class,destresser
Taking a dance class,destresser
Taking a driving test,stressor
Taking a surfing lesson,stressor
Visiting a small museum,destresser
Finding parking downtown,stressor
Taking a trapeze class,stressor
Going to a farmer's market,destresser
Taking a taxi in heavy traffic,stressor
Taking a cooking class,destresser
Going to the emergency room,stressor
Meeting with a supervisor,stressor
Visiting a botanical garden,destresser
Getting vaccinations,stressor
Starting a new job,stressor
Going to a music recital,destresser
Getting a massage,destresser
Taking an archery lesson,stressor
Bird watching in nature,destresser
Going to a yoga session,destresser
Taking a martial arts class,stressor
Joining a meditation group,destresser
