Activity,Classification
"Aerobic exercise (e.g., running)",De-stressor
Mindfulness meditation,De-stressor
Spending time in nature,De-stressor
Listening to music,De-stressor
"Engaging in creative arts (e.g., painting)",De-stressor
Practicing yoga,De-stressor
Socializing with friends and family,De-stressor
Adequate sleep,De-stressor
Deep breathing exercises,De-stressor
Time management and planning,De-stressor
Excessive workload,Stressor
Lack of sleep,Stressor
Financial difficulties,Stressor
Interpersonal conflicts,Stressor
Exposure to loud noises,Stressor
Sedentary lifestyle,Stressor
Procrastination,Stressor
Poor nutrition,Stressor
Overexposure to news media,Stressor
Multitasking,Stressor
"Aerobic exercise (e.g., running)",De-stressor
Mindfulness meditation,De-stressor
Spending time in nature,De-stressor
Listening to music,De-stressor
"Engaging in creative arts (e.g., painting)",De-stressor
Practicing yoga,De-stressor
Socializing with friends and family,De-stressor
Adequate sleep,De-stressor
Deep breathing exercises,De-stressor
Time management and planning,De-stressor
Excessive workload,Stressor
Lack of sleep,Stressor
Financial difficulties,Stressor
Interpersonal conflicts,Stressor
Exposure to loud noises,Stressor
Sedentary lifestyle,Stressor
Procrastination,Stressor
Poor nutrition,Stressor
Overexposure to news media,Stressor
Multitasking,Stressor
"Aerobic exercise (e.g., running)",De-stressor
Mindfulness meditation,De-stressor
Spending time in nature,De-stressor
Listening to music,De-stressor
"Engaging in creative arts (e.g., painting)",De-stressor
Practicing yoga,De-stressor
Socializing with friends and family,De-stressor
Adequate sleep,De-stressor
Deep breathing exercises,De-stressor
Time management and planning,De-stressor
Excessive workload,Stressor
Lack of sleep,Stressor
Financial difficulties,Stressor
Interpersonal conflicts,Stressor
Exposure to loud noises,Stressor
Sedentary lifestyle,Stressor
Procrastination,Stressor
Poor nutrition,Stressor
Overexposure to news media,Stressor
Multitasking,Stressor
"Aerobic exercise (e.g., running)",De-stressor
Mindfulness meditation,De-stressor
Spending time in nature,De-stressor
Listening to music,De-stressor
"Engaging in creative arts (e.g., painting)",De-stressor
Practicing yoga,De-stressor
Socializing with friends and family,De-stressor
Adequate sleep,De-stressor
Deep breathing exercises,De-stressor
Time management and planning,De-stressor
Excessive workload,Stressor
Lack of sleep,Stressor
Financial difficulties,Stressor
Interpersonal conflicts,Stressor
Exposure to loud noises,Stressor
Sedentary lifestyle,Stressor
Procrastination,Stressor
Poor nutrition,Stressor
Overexposure to news media,Stressor
Multitasking,Stressor
"Aerobic exercise (e.g., running)",De-stressor
Mindfulness meditation,De-stressor
Spending time in nature,De-stressor
Listening to music,De-stressor
"Engaging in creative arts (e.g., painting)",De-stressor
Practicing yoga,De-stressor
Socializing with friends and family,De-stressor
Adequate sleep,De-stressor
Deep breathing exercises,De-stressor
Time management and planning,De-stressor
Excessive workload,Stressor
Lack of sleep,Stressor
Financial difficulties,Stressor
Interpersonal conflicts,Stressor
Exposure to loud noises,Stressor
Sedentary lifestyle,Stressor
Procrastination,Stressor
Poor nutrition,Stressor
Overexposure to news media,Stressor
Multitasking,Stressor
"Aerobic exercise (e.g., running)",De-stressor
Mindfulness meditation,De-stressor
Spending time in nature,De-stressor
Listening to music,De-stressor
"Engaging in creative arts (e.g., painting)",De-stressor
Practicing yoga,De-stressor
Socializing with friends and family,De-stressor
Adequate sleep,De-stressor
Deep breathing exercises,De-stressor
Time management and planning,De-stressor
Excessive workload,Stressor
Lack of sleep,Stressor
Financial difficulties,Stressor
Interpersonal conflicts,Stressor
Exposure to loud noises,Stressor
Sedentary lifestyle,Stressor
Procrastination,Stressor
Poor nutrition,Stressor
Overexposure to news media,Stressor
Multitasking,Stressor
"Aerobic exercise (e.g., running)",De-stressor
Mindfulness meditation,De-stressor
Spending time in nature,De-stressor
Listening to music,De-stressor
"Engaging in creative arts (e.g., painting)",De-stressor
Practicing yoga,De-stressor
Socializing with friends and family,De-stressor
Adequate sleep,De-stressor
Deep breathing exercises,De-stressor
Time management and planning,De-stressor
Excessive workload,Stressor
Lack of sleep,Stressor
Financial difficulties,Stressor
Interpersonal conflicts,Stressor
